Tue May 10 17:22:06 2016 ------- Test Case r009.pl.pl Started -------
*** 2016-05-10 17:26:59 'r009.pl' 595 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:27:06 'r009.pl' 599 - write2CommandLine "12" Passed ***
*** 2016-05-10 17:27:06 'r009.pl' 600 - findStringOnPanel ">>>>>>  VIACPLI" Passed ***
*** 2016-05-10 17:27:06 'r009.pl' 601 - findStringOnPanel "|STATUS: BREAK AT START OF TEST SESSION" Passed ***
*** 2016-05-10 17:27:06 'r009.pl' 604 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:27:11 'r009.pl' 606 - findStringOnPanel ">>>>>>       PGMID      = 'VIACCOB2';           /* PAUSE HERE */ " Passed ***
*** 2016-05-10 17:27:11 'r009.pl' 614 - write2CommandLine "LIST LIMITS" Passed ***
*** 2016-05-10 17:27:11 'r009.pl' 618 - findStringOnPanel "Max GETMAIN size   4095" Passed ***
*** 2016-05-10 17:27:11 'r009.pl' 621 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:27:16 'r009.pl' 624 - write2CommandLine "LIST LIMITS" Passed ***
*** 2016-05-10 17:27:16 'r009.pl' 625 - findStringOnPanel "Max GETMAIN size   4095" Passed ***
*** 2016-05-10 17:27:17 'r009.pl' 628 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:27:22 'r009.pl' 631 - pressKey "[F3]" Passed ***
*** 2016-05-10 17:27:22 'r009.pl' 634 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:27:28 'r009.pl' 638 - write2CommandLine "13" Passed ***
*** 2016-05-10 17:27:29 'r009.pl' 642 - pressKey "[F3]" Passed ***
*** 2016-05-10 17:27:29 'r009.pl' 643 - findStringOnPanel ">>>>>>  VIACPLI: PROC(DFHEIPTR,COMMAREA_PTR) OPTIONS(MAIN" Passed ***
*** 2016-05-10 17:27:29 'r009.pl' 646 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:27:34 'r009.pl' 648 - findStringOnPanel ">>>>>>       PGMID      = 'VIACCOB2';           /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:27:34 'r009.pl' 651 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:27:39 'r009.pl' 653 - findStringOnPanel ">>>>>> 012900 PROCEDURE DIVISION" Passed ***
*** 2016-05-10 17:27:39 'r009.pl' 656 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:27:44 'r009.pl' 658 - findStringOnPanel ">>>>>> 049900     MOVE +0      TO MAX-COUNTER" Passed ***
*** 2016-05-10 17:27:44 'r009.pl' 661 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:27:49 'r009.pl' 663 - findStringOnPanel "ASG2850I EXECUTION MAY NOT BE CONTINUED FOR THIS "ABENDED" TRANSACTION. " Passed ***
*** 2016-05-10 17:27:51 'r009.pl' 666 - write2CommandLine "CANCEL;RUN VCOB" Passed ***
*** 2016-05-10 17:27:54 'r009.pl' 668 - findStringOnPanel ">>>>>>  PROCEDURE DIVISION" Passed ***
*** 2016-05-10 17:27:54 'r009.pl' 671 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:28:01 'r009.pl' 675 - write2CommandLine "X" Passed ***
*** 2016-05-10 17:28:01 'r009.pl' 676 - findStringOnPanel ">>>>>>  PROCEDURE DIVISION" Passed ***
*** 2016-05-10 17:28:01 'r009.pl' 679 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:28:06 'r009.pl' 681 - findStringOnPanel "THANK YOU FOR YOUR PARTICIPATION" Passed ***
*** 2016-05-10 17:28:07 'r009.pl' 684 - pressKey "[ENTER]" Passed ***
*** 2016-05-10 17:28:08 'r009.pl' 687 - write2CommandLine "CANCEL;RUN VPLI" Passed ***
*** 2016-05-10 17:28:10 'r009.pl' 689 - findStringOnPanel ">>>>>>  VIACPLI: PROC(DFHEIPTR,COMMAREA_PTR) " Passed ***
*** 2016-05-10 17:28:10 'r009.pl' 692 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:28:16 'r009.pl' 696 - write2CommandLine "14" Passed ***
*** 2016-05-10 17:28:16 'r009.pl' 698 - findStringOnPanel ">>>>>>  VIACPLI: PROC(DFHEIPTR,COMMAREA_PTR) OPTIONS(MAIN" Passed ***
*** 2016-05-10 17:28:16 'r009.pl' 700 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:28:21 'r009.pl' 702 - findStringOnPanel ">>>>>>       PGMID      = 'VIACCOB2';           /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:28:22 'r009.pl' 705 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:28:27 'r009.pl' 707 - findStringOnPanel ">>>>>> 012900 PROCEDURE DIVISION" Passed ***
*** 2016-05-10 17:28:27 'r009.pl' 710 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:28:32 'r009.pl' 712 - findStringOnPanel ">>>>>> 053200     MOVE 'LINK'   TO ASMEIB." Passed ***
*** 2016-05-10 17:28:32 'r009.pl' 715 - write2CommandLine "LIST TAILOR" Passed ***
*** 2016-05-10 17:28:32 'r009.pl' 717 - pressKey "[HOME]" Passed ***
*** 2016-05-10 17:28:32 'r009.pl' 722 - pressKeys: I Passed ***
*** 2016-05-10 17:28:32 'r009.pl' 727 - pressKeys: VIACASM.VIACASM   Passed ***
*** 2016-05-10 17:28:32 'r009.pl' 728 - pressKeys: YESYESYESYESYESNO YESYES Passed ***
*** 2016-05-10 17:28:32 'r009.pl' 729 - pressKey "[enter]" Passed ***
*** 2016-05-10 17:28:32 'r009.pl' 731 - verifyPanel ListTailoring3.txt Passed ***
*** 2016-05-10 17:28:32 'r009.pl' 734 - pressKey "[F3]" Passed ***
*** 2016-05-10 17:28:32 'r009.pl' 735 - findStringOnPanel "053200     MOVE 'LINK'   TO ASMEIB" Passed ***
*** 2016-05-10 17:28:33 'r009.pl' 738 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:28:38 'r009.pl' 740 - findStringOnPanel ">>>>>>  VIACASM  DFHEIENT CODEREG=(12,8)" Passed ***
*** 2016-05-10 17:28:38 'r009.pl' 743 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:28:46 'r009.pl' 746 - write2CommandLine "X" Passed ***
*** 2016-05-10 17:28:48 'r009.pl' 749 - write2CommandLine "15" Passed ***
*** 2016-05-10 17:28:48 'r009.pl' 750 - findStringOnPanel ">>>>>>  VIACPLI: " Passed ***
*** 2016-05-10 17:28:48 'r009.pl' 753 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:28:53 'r009.pl' 755 - findStringOnPanel ">>>>>>       PGMID      = 'VIACCOB2'" Passed ***
*** 2016-05-10 17:28:53 'r009.pl' 758 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:28:58 'r009.pl' 760 - findStringOnPanel ">>>>>> 012900 PROCEDURE DIVISION" Passed ***
*** 2016-05-10 17:28:58 'r009.pl' 763 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:29:03 'r009.pl' 766 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:29:08 'r009.pl' 768 - findStringOnPanel "PL/I Demonstration Program -----------------------" Passed ***
*** 2016-05-10 17:29:08 'r009.pl' 769 - findStringOnPanel "** PROGRAM (VIACCOB3) ASYNCHRONOUSLY STARTED **" Passed ***
*** 2016-05-10 17:29:10 'r009.pl' 772 - write2CommandLine "X" Passed ***
*** 2016-05-10 17:29:13 'r009.pl' 774 - findStringOnPanel ">>>>>>  VIACPLI: PROC(DFHEIPTR,COMMAREA_PTR)" Passed ***
*** 2016-05-10 17:29:13 'r009.pl' 777 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:29:19 'r009.pl' 780 - pressKey "[ENTER]" Passed ***
*** 2016-05-10 17:29:19 'r009.pl' 781 - findStringOnPanel ">>>>>>  VIACPLI: PROC(DFHEIPTR,COMMAREA_PTR) " Passed ***
*** 2016-05-10 17:29:19 'r009.pl' 784 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:29:25 'r009.pl' 787 - write2CommandLine "16" Passed ***
*** 2016-05-10 17:29:25 'r009.pl' 788 - findStringOnPanel ">>>>>>  VIACPLI: PROC(DFHEIPTR,COMMAREA_PTR)" Passed ***
*** 2016-05-10 17:29:26 'r009.pl' 791 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:29:31 'r009.pl' 793 - findStringOnPanel ">>>>>>       PGMID      = 'VIACCOB2';           /* PAUSE HERE */" Passed ***

 C 
*** 2016-05-10 17:29:52 'r009.pl' 800 - pressKey "[clear]" Passed ***
*** 2016-05-10 17:29:52 'r009.pl' 803 - pressKeys: CEMT INQ RUNAWAY Passed ***
*** 2016-05-10 17:29:52 'r009.pl' 804 - pressKey "[ENTER]" Passed ***
*** 2016-05-10 17:29:52 'r009.pl' 805 - findStringOnPanel "Runaway( 0005000 )" Passed ***
*** 2016-05-10 17:29:52 'r009.pl' 809 - findStringOnPanel "Runaway( 0001000 )" Passed ***
*** 2016-05-10 17:29:52 'r009.pl' 813 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:29:57 'r009.pl' 815 - findStringOnPanel ">>>>>> 012900 PROCEDURE DIVISION" Passed ***
*** 2016-05-10 17:29:57 'r009.pl' 818 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:30:02 'r009.pl' 820 - findStringOnPanel ">>>>>> 039200     MOVE +0      TO MAX-COUNTER" Passed ***
*** 2016-05-10 17:30:04 'r009.pl' 823 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:30:19 'r009.pl' 825 - findStringOnPanel "MOVE ALL '|' TO BLL2-DATA.                           RETURN" Passed ***
*** 2016-05-10 17:30:19 'r009.pl' 826 - findStringOnPanel "ASG2850I EXECUTION MAY NOT BE CONTINUED FOR THIS "ABENDED" TRANSACTION" Passed ***
*** 2016-05-10 17:30:19 'r009.pl' 829 - write2CommandLine "CANCEL;RUN CEMT INQ RUNAWAY" Passed ***
*** 2016-05-10 17:30:22 'r009.pl' 831 - findStringOnPanel "Runaway( 0001000 )" Passed ***
*** 2016-05-10 17:30:23 'r009.pl' 836 - findStringOnPanel "Runaway( 0005000 )" Passed ***
*** 2016-05-10 17:30:24 'r009.pl' 838 - pressKey "[F3]" Passed ***
*** 2016-05-10 17:30:24 'r009.pl' 839 - findStringOnPanel " STATUS:  SESSION ENDED " Passed ***
*** 2016-05-10 17:30:26 'r009.pl' 842 - pressKey "[CLEAR]" Passed ***
*** 2016-05-10 17:30:26 'r009.pl' 845 - pressKeys: VPLI Passed ***
*** 2016-05-10 17:30:27 'r009.pl' 846 - pressKey "[ENTER]" Passed ***
*** 2016-05-10 17:30:27 'r009.pl' 847 - findStringOnPanel ">>>>>>  VIACPLI: PROC(DFHEIPTR,COMMAREA_PTR) OPTIONS(MAIN" Passed ***
*** 2016-05-10 17:30:27 'r009.pl' 850 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:30:33 'r009.pl' 854 - write2CommandLine "16" Passed ***
*** 2016-05-10 17:30:33 'r009.pl' 855 - findStringOnPanel ">>>>>>  VIACPLI: PROC(DFHEIPTR,COMMAREA_PTR) OPTIONS(MAIN" Passed ***
*** 2016-05-10 17:30:34 'r009.pl' 859 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:30:39 'r009.pl' 861 - findStringOnPanel ">>>>>>       PGMID      = 'VIACCOB2';           /* PAUSE HERE */ " Passed ***
*** 2016-05-10 17:30:39 'r009.pl' 864 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:30:44 'r009.pl' 866 - findStringOnPanel ">>>>>> 012900 PROCEDURE DIVISION" Passed ***
*** 2016-05-10 17:30:44 'r009.pl' 869 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:30:49 'r009.pl' 871 - findStringOnPanel ">>>>>> 039200     MOVE +0      TO MAX-COUNTER" Passed ***
*** 2016-05-10 17:30:56 'r009.pl' 874 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:31:02 'r009.pl' 878 - write2CommandLine "X" Passed ***
*** 2016-05-10 17:31:03 'r009.pl' 881 - write2CommandLine "CAN;Q CAN ALL" Passed ***
*** 2016-05-10 17:31:03 'r009.pl' 887 - pressKey "[F3]" Passed ***
*** 2016-05-10 17:31:03 'r009.pl' 888 - pressKey "[CLEAR]" Passed ***
*** 2016-05-10 17:31:03 'r009.pl' 889 - pressKeys: CESF LOGOFF Passed ***
*** 2016-05-10 17:31:03 'r009.pl' 890 - pressKey "[ENTER]" Passed ***
*** 2016-05-10 17:31:04 'r009.pl' 895 - navigate2Panel-ISP@MST1 Passed ***
*** 2016-05-10 17:31:04 'r009.pl' 895 - Ended with a status of:  Passed ***
Tue May 10 17:31:04 2016 ------- Test Case r009.pl Ended. Elasped Time: 0 Day(s). 0 Hour(s). 8 Min(s). 58 Sec(s). ------

