Tue May 10 17:22:06 2016 ------- Test Case r009.pl.pl Started -------
*** 2016-05-10 17:23:09 'r009.pl' 187 - findStringOnPanel "TEST OPTIONS DEFAULTED" Passed ***
*** 2016-05-10 17:23:09 'r009.pl' 189 - write2CommandLine "SET TRACK 2000" Passed ***
*** 2016-05-10 17:23:12 'r009.pl' 191 - findStringOnPanel "TRACK SIZE SET" Passed ***
*** 2016-05-10 17:23:12 'r009.pl' 193 - write2CommandLine "LIST TAILOR" Passed ***
*** 2016-05-10 17:23:15 'r009.pl' 195 - findStringOnPanel "Test Session Tailoring" Passed ***
*** 2016-05-10 17:23:15 'r009.pl' 198 - pressKey "[HOME]" Passed ***
*** 2016-05-10 17:23:15 'r009.pl' 200 - pressKeys: YESYES Passed ***
*** 2016-05-10 17:23:15 'r009.pl' 201 - pressKeys: YESYES Passed ***
*** 2016-05-10 17:23:15 'r009.pl' 202 - pressKeys: NO NO  Passed ***
*** 2016-05-10 17:23:15 'r009.pl' 203 - pressKeys: YESYES Passed ***
*** 2016-05-10 17:23:15 'r009.pl' 204 - pressKey "[ENTER]" Passed ***
*** 2016-05-10 17:23:18 'r009.pl' 206 - verifyPanel ListTailoring.txt Passed ***
*** 2016-05-10 17:23:18 'r009.pl' 208 - pressKey "[F3]" Passed ***
*** 2016-05-10 17:23:18 'r009.pl' 211 - write2CommandLine "BREAK BEFORE PAUSE ALL;RUN" Passed ***
*** 2016-05-10 17:23:25 'r009.pl' 213 - pressKey "[enter]" Passed ***
*** 2016-05-10 17:23:29 'r009.pl' 217 - write2CommandLine "1" Passed ***
*** 2016-05-10 17:23:32 'r009.pl' 219 - findStringOnPanel "BREAK AT START OF TEST SESSION" Passed ***
*** 2016-05-10 17:23:32 'r009.pl' 222 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:23:52 'r009.pl' 225 - findStringOnPanel "DATA_PACKED_DEC = DATA_PACKED_DEC + 1;" Passed ***
*** 2016-05-10 17:23:52 'r009.pl' 226 - findStringOnPanel "STATUS: DATA EXCEPTION (0C7)" Passed ***
*** 2016-05-10 17:23:52 'r009.pl' 230 - pressKeys: ZD Passed ***
*** 2016-05-10 17:23:52 'r009.pl' 231 - pressKey "[ENTER]" Passed ***
*** 2016-05-10 17:23:52 'r009.pl' 233 - pressKeys: 1 Passed ***
*** 2016-05-10 17:23:53 'r009.pl' 234 - pressKey "[ENTER]" Passed ***
*** 2016-05-10 17:23:53 'r009.pl' 235 - findStringOnPanel "SUCCESSFUL MEMORY UPDATE" Passed ***
*** 2016-05-10 17:23:53 'r009.pl' 238 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:23:58 'r009.pl' 240 - findStringOnPanel "S0C4_DEMO: PROC;                      /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:23:58 'r009.pl' 243 - write2CommandLine "LIST LIMITS" Passed ***
*** 2016-05-10 17:23:58 'r009.pl' 245 - pressKey "[F3]" Passed ***
